[('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('pillarB1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half11.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half11.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('pillarB1.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('blackk.png', 0), ('roof_half2.png', 0), ('roof_half4.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('tile stairs down2.png', 0), ('roof_half3.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('tile stairs down2.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half6.png', 0), ('roof_half2a.png', 0), ('blackk.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('pillarB1.png', 0), ('roof_half4.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half2.png', 0), ('roof_half1.png', 0), ('roof_half4.png', 0), ('blackk.png', 0), ('pillarB1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('pillarB1.png', 0), ('blackk.png', 0), ('roof_half6.png', 0), ('roof_half1.png', 0), ('roof_half2a.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half6.png', 0), ('pillarB1.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('roof_half3.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half3.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('tile carpet2blue.png', -90), ('tile throneblue.png', 0), ('tile carpet2blue.png', -270), ('roof_half3.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half3.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('roof_half3.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half2.png', 0), ('roof_half4.png', 0), ('blackk.png', 0), ('roof_half2.png', 0), ('roof_half1.png', 0), ('roof_half2a.png', 0), ('tile carpet3blue.png', 0), ('tile carpet2blue.png', 0), ('tile carpet3blue.png', -270), ('roof_half2.png', 0), ('roof_half1.png', 0), ('roof_half2a.png', 0), ('blackk.png', 0), ('roof_half6.png', 0), ('roof_half2a.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half3.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('roof_half3.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('roof_half2.png', 0), ('roof_half4.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('tile stairs down2.png', 0), ('pillarB1.png', 0), ('tile carpet3blue.png', 0), ('tile carpet2blue.png', 0), ('tile carpet3blue.png', -270), ('pillarB1.png', 0), ('tile stairs down2.png', 0), ('roof_half3.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half6.png', 0), ('roof_half2a.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('pillarB1.png', 0), ('dirttest.png', 0), ('roof_half3.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('roof_half3.png', 0), ('dirttest.png', 0), ('pillarB1.png', 0), ('dirttest.png', 0), ('pillarB1.png', 0), ('roof_half1.png', 0), ('roof_half4.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half2.png', 0), ('roof_half4.png', 0), ('dirttest4.png', 0), ('pillarB3.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('pillarB3.png', 0), ('dirttest4.png', 0), ('roof_half6.png', 0), ('roof_half2a.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half6.png', 0), ('roof_half1.png', 0), ('pillarB1.png', 0), ('dirttest.png', 0), ('roof_half3.png', 0), ('stairsCD.png', -270), ('roof_half3.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('roof_half3.png', 0), ('stairsCD.png', -270), ('roof_half3.png', 0), ('stairsCD.png', -90), ('roof_half3.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half2.png', 0), ('roof_half4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('roof_half3.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('roof_half6.png', 0), ('roof_half2a.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('stairsCD.png', -90), ('roof_half3.png', 0), ('stairsCD.png', -270), ('roof_half3.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('roof_half3.png', 0), ('stairsCD.png', -270), ('roof_half3.png', 0), ('stairsCD.png', -90), ('roof_half3.png', 0), ('blackk.png', 0), ('roof_half2.png', 0), ('roof_half1.png', 0), ('roof_half4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('roof_half10.png', 0), ('roof_half7.png', 0), ('roof_half10a.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('roof_half6.png', 0), ('roof_half1.png', 0), ('roof_half2a.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('stairsCD.png', -90), ('roof_half3.png', 0), ('stairsCD.png', -90), ('roof_half3.png', 0), ('blackk.png', 0)]
[('blackk.png', 0), ('roof_half3.png', 0), ('stairsCD.png', -270), ('roof_half3.png', 0), ('stairsCD.png', -90), ('roof_half3.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('tile stairs down2.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('roof_half6.png', 0), ('roof_half9.png', 0), ('roof_half7.png', 0), ('roof_half8.png', 0), ('roof_half4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('dirttest4.png', 0), ('tile stairs down2.png', 0), ('roof_half3.png', 0), ('blackk.png', 0), ('roof_half3.png', 0), ('stairsCD.png', -90), ('roof_half3.png', 0), ('stairsCD.png', -270), ('roof_half3.png', 0), ('blackk.png', 0)]
