[('docks_c.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('armory1.png', 0), ('grass_45.png', -180), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('vendor1.png', 0), ('grass_7.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_49.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('dirt_4.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_6.png', 0), ('hill3.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_49.png', 0), ('grass_36.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('dirt_4.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('tesst2.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('hill1b.png', 0), ('blue30x30.png', 0)]
[('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('grass_2.png', 0), ('grass_25.png', -180), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('pond2.png', 0), ('hill3.png', 0), ('redTileFinalTry5.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('blue30x30.png', 0)]
[('grass_30.png', 0), ('grass_30.png', 0), ('grass_30.png', 0), ('grass_2.png', 0), ('grass_30.png', 0), ('grass_36.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('river7b.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('house30.png', 0), ('hill3.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('grass_54.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('pond2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_27.png', 0), ('grass_35.png', 0), ('grass_35.png', 0), ('grass_26.png', 0), ('grass_25.png', -180), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_35.png', 0), ('grass_35.png', 0), ('grass_35.png', 0), ('grass_35.png', 0), ('grass_36.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_37.png', 0), ('grass_36.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('river5b.png', -90), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('blue30x30.png', 0)]
