[('chest1b.png', 0), ('grass_5.png', 0), ('roof_half2.png', 0), ('roof_half1.png', 0), ('roof_half2a.png', 0), ('grass_2.png', 0), ('grass_51.png', -180), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('pillar_a.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('roof_half1.png', 0), ('pillar_a.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_2.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_1.png', -270)]
[('grass_5.png', 0), ('grass_5.png', 0), ('roof_half3.png', 0), ('tile stairs down2.png', 0), ('roof_half3.png', 0), ('grass_1.png', -90), ('grass_25.png', -180), ('grass_2.png', 0), ('river4a.png', -90), ('grass_1.png', 0), ('roof_half3.png', 0), ('chest1b.png', 0), ('tile throne.png', 0), ('chest1b.png', 0), ('roof_half3.png', 0), ('grass_2.png', 0), ('river4a.png', -90), ('grass_6.png', 0), ('hill3.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0)]
[('grass_5.png', 0), ('grass_3.png', 0), ('roof_half6.png', 0), ('stairsCDtan.png', -90), ('roof_half4.png', 0), ('grass_3.png', 0), ('grass_51.png', -180), ('grass_2.png', 0), ('river4b.png', -90), ('grass_3.png', 0), ('roof_half3.png', 0), ('tile carpet1.png', -90), ('tile carpet4.png', 0), ('tile carpet1.png', -270), ('roof_half3.png', 0), ('grass_1.png', -90), ('river4a.png', -90), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('grass_2.png', 0)]
[('grass_5.png', 0), ('grass_3.png', 0), ('grass_10.png', -90), ('grass_7.png', 0), ('grass_8.png', -180), ('grass_1.png', -180), ('grass_25.png', -180), ('grass_2.png', 0), ('river4b.png', -90), ('grass_3.png', 0), ('roof_half3.png', 0), ('tile carpet2.png', 0), ('tile carpet1.png', 0), ('tile carpet2.png', -270), ('roof_half3.png', 0), ('grass_3.png', 0), ('river4b.png', -90), ('hill3.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_1.png', 0)]
[('grass_5.png', 0), ('hill4.png', 0), ('grass_10.png', 0), ('grass_10.png', -270), ('hill4.png', 0), ('grass_2.png', 0), ('grass_51.png', -180), ('grass_2.png', 0), ('river4b.png', -90), ('grass_3.png', 0), ('pillar_a.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('dirttest.png', 0), ('pillar_a.png', 0), ('grass_3.png', 0), ('river4b.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_3.png', 0)]
[('grass_3.png', 0), ('grass_3.png', 0), ('grass_5.png', 0), ('hill4.png', 0), ('grass_5.png', 0), ('grass_27.png', 0), ('grass_36.png', 0), ('grass_2.png', 0), ('river4b.png', -90), ('grass_3.png', 0), ('pillar column.png', 0), ('roof_half1.png', 0), ('door_2.png', 0), ('roof_half1.png', 0), ('pillar column.png', 0), ('grass_3.png', 0), ('river4b.png', -90), ('grass_1.png', -90), ('grass_2.png', 0), ('hill3.png', 0), ('grass_6.png', 0), ('grass_1.png', -270)]
[('grass_3.png', 0), ('grass_5.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -180), ('grass_36.png', 0), ('grass_2.png', 0), ('grass_1.png', 0), ('river4b.png', -90), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_8.png', 0), ('grass_7.png', 0), ('grass_8.png', -180), ('grass_3.png', 0), ('grass_3.png', 0), ('river4b.png', -90), ('grass_3.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0)]
[('grass_3.png', 0), ('grass_1.png', -180), ('grass_2.png', 0), ('grass_27.png', 0), ('grass_36.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_1.png', -270), ('river2a.png', -180), ('river4b.png', 0), ('river4b.png', 0), ('river4b.png', 0), ('river7a.png', -90), ('river4b.png', 0), ('river4b.png', 0), ('river4b.png', 0), ('river2a.png', -90), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_1.png', 0)]
[('grass_35.png', 0), ('grass_2.png', 0), ('grass_35.png', 0), ('grass_36.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_1.png', -270), ('grass_3.png', 0), ('grass_8.png', 0), ('grass_7.png', 0), ('grass_10.png', -180), ('grass_8.png', -90), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_5.png', 0), ('grass_3.png', 0), ('tile housewall4b.png', 0), ('tile housewall5ab.png', 0), ('tile housewall3b.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_1.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_1.png', -270), ('grass_3.png', 0), ('grass_10.png', 0), ('grass_7.png', 0), ('grass_7.png', 0), ('grass_10.png', -180), ('grass_8.png', -90), ('grass_8.png', -90), ('grass_3.png', 0), ('tile housewall1b.png', 0), ('tile housewall6b.png', 0), ('tile housewall2b.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_1.png', 0), ('grass_3.png', 0), ('hill4.png', 0), ('hill4.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_1.png', -270), ('grass_3.png', 0), ('grass_8.png', -270), ('grass_10.png', 0), ('grass_7.png', 0), ('grass_7.png', 0), ('grass_7.png', 0), ('grass_10.png', -180), ('grass_8.png', -90), ('grass_11.png', 0), ('grass_3.png', 0)]
